"","schoolcode","choicepgm","schoolname","sssdistrict","ssslong","ssslat","cutoff","quality","size"
"48",100402,"Agriculture","TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,225,240.62,50
"49",100402,"Home Economics","TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,196,222.847826086957,46
"50",100402,"Technical","TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,209,232.214285714286,14
"51",100501,"Agriculture","KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478,235,253.211111111111,90
"52",100501,"Home Economics","KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478,224,241.855555555556,90
"53",100501,"Technical","KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478,207,234.155555555556,45
"54",100502,"Agriculture","DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478,191,235,89
"55",100502,"General Arts","DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478,198,233.230769230769,91
"56",100502,"Home Economics","DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478,209,227.755555555556,45
"57",100503,"Business","QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478,262,278.65,80
"58",100503,"General Arts","QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478,273,288.6,80
"59",100503,"General Science","QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478,276,276,1
"60",10101,"Agriculture","EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,288,310.142857142857,49
"61",10101,"Business","EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,305,324.86,100
"62",10101,"General Arts","EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,316,330.09,100
"63",10101,"General Science","EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,299,329.1,50
"64",10101,"Home Economics","EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,284,300.571428571429,49
"65",10101,"Visual Arts","EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,296,311.54,50
"66",10102,"General Arts","ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563,388,404.977272727273,88
"67",10102,"General Science","ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563,389,406.414285714286,70
"68",10102,"Home Economics","ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563,363,377.111111111111,45
"69",10102,"Visual Arts","ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563,343,370.933333333333,45
"70",10103,"Agriculture","WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,316,333.131578947368,38
"71",10103,"Business","WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,341,357.966386554622,119
"72",10103,"General Arts","WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,349,362.581196581197,117
"73",10103,"General Science","WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,335,353.5625,80
"74",10103,"Home Economics","WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,320,336.040816326531,49
"75",10103,"Visual Arts","WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,343,357.95,40
"76",10104,"General Arts","HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,302,320.127272727273,55
"77",10104,"General Science","HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,245,283.363636363636,55
"78",10104,"Home Economics","HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,264,285.854545454545,55
"79",10104,"Visual Arts","HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,273,298.327272727273,55
"80",10105,"Agriculture","ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563,260,306.266666666667,45
"81",10105,"Business","ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563,331,356.355555555556,90
"82",10105,"General Arts","ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563,328,356.735632183908,87
"83",10105,"General Science","ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563,339,366.4875,80
"84",10105,"Visual Arts","ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS","Accra Metropolitan",-0.197115257382393,5.6073956489563,323,347.977272727273,44
"85",10106,"Business","ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,328,345.19,100
"86",10106,"General Arts","ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,336,350.353535353535,99
"87",10106,"General Science","ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,336,354.68,50
"88",10106,"Home Economics","ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,293,319,50
"89",10106,"Technical","ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,301,324.285714285714,49
"90",10106,"Visual Arts","ACCRA HIGH SCHOOL, ASYLUM DOWN, ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,314,331.106382978723,47
"91",10107,"Business","PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,292,313.289156626506,83
"92",10107,"General Arts","PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,299,318.065934065934,91
"93",10107,"General Science","PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,281,310.658536585366,41
"94",10107,"Home Economics","PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,286,303.121951219512,41
"95",10107,"Visual Arts","PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,288,306.92,50
"96",10108,"Business","O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563,291,312.015625,64
"97",10108,"General Arts","O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563,291,310.663865546218,119
"98",10108,"General Science","O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563,248,285.444444444444,45
"99",10108,"Home Economics","O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563,278,294.022222222222,45
"100",10108,"Visual Arts","O'REILLY SENIOR HIGH SCHOOL, ADABRAKA","Accra Metropolitan",-0.197115257382393,5.6073956489563,280,302.822222222222,45
"101",10109,"Home Economics","KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,259,277.5,50
"102",10109,"Technical","KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,257,279.085,200
"103",10109,"Visual Arts","KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,278,297.1,50
"104",10110,"Agriculture","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,343,371.275,40
"105",10110,"General Arts","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,389,409.146666666667,225
"106",10110,"General Science","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,401,419.988888888889,180
"107",10110,"Home Economics","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,366,385.825,40
"108",10110,"Visual Arts","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,389,407.64,50
"109",10111,"Agriculture","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,371,394.8,40
"110",10111,"Business","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,382,405.333333333333,120
"111",10111,"General Arts","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,382,401.525,120
"112",10111,"General Science","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,407,424.885714285714,280
"113",10111,"Visual Arts","PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,379,398.075,40
"114",10112,"Business","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563,359,380.14606741573,89
"115",10112,"General Arts","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563,374,385.850574712644,87
"116",10112,"General Science","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563,362,377.466666666667,45
"117",10112,"Home Economics","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563,363,375.966666666667,30
"118",10112,"Visual Arts","ACCRA GIRLS SENIOR HIGH. SCHOOL, MAMOBI","Accra Metropolitan",-0.197115257382393,5.6073956489563,316,347.285714285714,49
"119",10114,"Business","NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563,329,347.99,100
"120",10114,"General Arts","NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563,337,351.9,100
"121",10114,"General Science","NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563,325,350.54,50
"122",10114,"Home Economics","NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563,319,335.02,50
"123",10114,"Visual Arts","NUNGUA SENIOR HIGH. SCHOOL, NUNGUA","Accra Metropolitan",-0.197115257382393,5.6073956489563,319,338.22,50
"124",10115,"General Arts","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563,321,338.538461538462,39
"125",10115,"General Science","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563,274,312.825,40
"126",10115,"Home Economics","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563,275,299.897435897436,39
"127",10115,"Technical","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563,295,316.0125,80
"128",10115,"Visual Arts","ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP","Accra Metropolitan",-0.197115257382393,5.6073956489563,290,314.875,40
"129",10116,"Business","TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,205,273.635714285714,280
"130",10116,"General Arts","TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,307,325.64,50
"131",10116,"General Science","TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,288,335.368421052632,38
"132",10116,"Home Economics","TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,279,298.051282051282,39
"133",10116,"Visual Arts","TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,288,309.051282051282,39
"134",10117,"Agriculture","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,330,345.85,40
"135",10117,"Business","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,349,367.506329113924,158
"136",10117,"General Arts","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,363,375.836206896552,116
"137",10117,"General Science","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,368,382.4625,80
"138",10117,"Home Economics","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,341,353.615384615385,39
"139",10117,"Visual Arts","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,358,370.078947368421,38
"140",10118,"Agriculture","ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,273,303.488888888889,45
"141",10118,"Business","ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,291,316.881481481482,135
"142",10118,"General Arts","ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,298,320.586592178771,179
"143",10118,"General Science","ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,298,326.488888888889,45
"144",10118,"Home Economics","ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,292,310.711111111111,45
"145",10118,"Visual Arts","ODORGONNO SENIOR HIGH. SCH., AWOSHIE","Ga West (Amasaman)",-0.397510528564453,5.6646876335144,278,303.944444444444,90
"146",10119,"Business","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563,259,288.325,120
"147",10119,"General Arts","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563,273,291.96,150
"148",10119,"General Science","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563,235,279.413793103448,29
"149",10119,"Home Economics","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563,264,279.12,50
"150",10119,"Visual Arts","CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN","Accra Metropolitan",-0.197115257382393,5.6073956489563,272,290.938775510204,49
"151",10120,"General Arts","KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,243,270.126050420168,119
"152",10120,"Home Economics","KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,253,269.72,25
"153",10120,"Technical","KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,259,288.336538461538,104
"154",10120,"Visual Arts","KANESHIE SENIOR HIGH./TECH, KANESHIE-ACCRA","Accra Metropolitan",-0.197115257382393,5.6073956489563,266,281.6,30
"155",10121,"Agriculture","ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,335,361.875,40
"156",10121,"Business","ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,363,384.116666666667,180
"157",10121,"General Arts","ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,369,386.3875,80
"158",10121,"General Science","ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,358,384.2,160
"159",10121,"Visual Arts","ACCRA ACADEMY, KANESHIE","Accra Metropolitan",-0.197115257382393,5.6073956489563,360,374.8,40
"160",10128,"General Arts","LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563,278,295.54,50
"161",10128,"General Science","LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563,203,278.408163265306,49
"162",10128,"Home Economics","LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563,205,249.01,100
"163",10128,"Visual Arts","LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS","Accra Metropolitan",-0.197115257382393,5.6073956489563,252,271.26,50
"164",10142,"Business","ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,260,285.684210526316,95
"165",10142,"General Arts","ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,280,305.105263157895,95
"166",10142,"General Science","ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,225,266.3125,32
"167",10142,"Visual Arts","ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563,275,294.75,44
"168",10201,"Business","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487,356,373.42962962963,135
"169",10201,"General Arts","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487,358,373.649253731343,134
"170",10201,"General Science","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487,344,367.291044776119,134
"171",10201,"Home Economics","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487,340,355.955555555556,45
"172",10201,"Visual Arts","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5","Tema",-0.0500882156193256,5.69031476974487,339,359.216666666667,60
"173",10202,"General Arts","CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4","Tema",-0.0500882156193256,5.69031476974487,316,339.27135678392,199
